No,City,1991,2001,2011
1,London,6715769,7208384,8250205
2,Birmingham,965928,970892,1085810
3,Glasgow,...,575132,590507
4,Liverpool,538386,523783,552267
5,Bristol,496044,516997,535907
6,Sheffield,457805,469127,518090
7,Manchester,447863,438752,510746
8,Leeds,424194,445795,474632
9,Edinburgh,400632,431393,459366
10,Leicester,377700,401448,443760
11,Bradford,305101,311130,349561
12,Cardiff,276464,296808,335145
13,Coventry,299316,305854,325949
14,Nottingham,270222,249584,289301
15,Kingston upon Hull,310636,301416,284321
16,Belfast,279237,276705,280561
17,Stoke-on-Trent,266543,259252,270726
18,Newcastle upon Tyne,255362,254777,268064
19,Derby,223836,229407,255394
20,Southampton,210138,234224,253651
21,Portsmouth,...,...,238137
22,Plymouth,...,...,234982
23,Brighton and Hove,192453,206628,229700
24,Reading,213474,...,218705
25,Northampton,183082,197199,215173
26,Luton,171671,185543,211228
27,Wolverhampton,...,...,210319
28,Aberdeen,182133,185226,195021
29,Bolton,...,...,194189
30,Bournemouth,155488,167527,187503
31,Norwich,171304,174047,186682
32,Swindon,145236,155432,182441
33,Swansea,171038,169880,179485
34,Southend-on-Sea,158517,160257,175547
35,Middlesbrough,184773,175479,174700
36,Sunderland,183310,177739,174286
37,Milton Keynes,102428,122041,171750
38,Warrington,152458,158195,165456
39,Huddersfield,147847,149938,162949
40,Peterborough,134788,136292,161707
41,Oxford,118795,143016,159994
42,Slough,121811,137736,155298
43,Poole,138479,144800,154718
44,York,124609,137505,152841
45,Blackpool,146262,142283,147663
46,Dundee,...,145817,147285
47,Cambridge,109912,127713,145818
48,Ipswich,130157,138718,144957
49,Birkenhead,149164,137634,142968
50,Telford,114251,131489,142723
51,Gloucester,114003,123205,136362
52,Sale,...,...,134022
53,Watford,113080,120960,131982
54,Newport,115522,118323,128060
55,Solihull,118103,118907,123187
56,High Wycombe,106123,110473,120256
57,Gateshead,118212,112599,120046
58,Colchester,96063,104390,119441
59,Blackburn,...,...,117963
60,Cheltenham,102633,110320,116447
61,Exeter,94717,106772,113507
62,Chelmsford,97451,99962,110507
63,Doncaster,103580,101056,109805
64,Rotherham,...,...,109691
65,Eastbourne,94793,106562,109185
66,Worthing,...,...,109120
67,Sutton Coldfield,106001,105452,109015
68,Rochdale,100935,102888,107926
69,Maidstone,...,...,107627
70,Basingstoke,81228,93963,107355
71,Basildon,100924,99876,107123
72,Crawley,88203,100547,106943
73,Stockport,...,...,105878
74,Woking,101484,105262,105367
75,Gillingham,94923,98403,104157
76,Salford,...,...,103886
77,Wigan,98070,92415,103608
78,St Helens,106293,102629,102885
79,Lincoln,97996,104221,100160
80,Worcester,82661,94029,100153
